"State","Year","Total.Deaths"
"Federal",2001,301
"Alabama",2001,87
"Alaska",2001,8
"Arizona",2001,64
"Arkansas",2001,42
"California",2001,287
"Colorado",2001,42
"Connecticut",2001,30
"Delaware",2001,16
"Florida",2001,182
"Georgia",2001,93
"Hawaii",2001,7
"Idaho",2001,17
"Illinois",2001,86
"Indiana",2001,46
"Iowa",2001,9
"Kansas",2001,21
"Kentucky",2001,36
"Louisiana",2001,71
"Maine",2001,6
"Maryland",2001,70
"Massachusetts",2001,29
"Michigan",2001,114
"Minnesota",2001,13
"Mississippi",2001,36
"Missouri",2001,57
"Montana",2001,6
"Nebraska",2001,7
"Nevada",2001,27
"New Hampshire",2001,2
"New Jersey",2001,69
"New Mexico",2001,11
"New York",2001,175
"North Carolina",2001,66
"North Dakota",2001,3
"Ohio",2001,115
"Oklahoma",2001,51
"Oregon",2001,24
"Pennsylvania",2001,122
"Rhode Island",2001,3
"South Carolina",2001,69
"South Dakota",2001,4
"Tennessee",2001,51
"Texas",2001,408
"Utah",2001,5
"Vermont",2001,3
"Virginia",2001,71
"Washington",2001,29
"West Virginia",2001,17
"Wisconsin",2001,48
"Wyoming",2001,5
"Federal",2002,335
"Alabama",2002,85
"Alaska",2002,14
"Arizona",2002,73
"Arkansas",2002,31
"California",2002,337
"Colorado",2002,51
"Connecticut",2002,30
"Delaware",2002,15
"Florida",2002,183
"Georgia",2002,103
"Hawaii",2002,13
"Idaho",2002,9
"Illinois",2002,72
"Indiana",2002,49
"Iowa",2002,11
"Kansas",2002,22
"Kentucky",2002,41
"Louisiana",2002,78
"Maine",2002,7
"Maryland",2002,71
"Massachusetts",2002,20
"Michigan",2002,113
"Minnesota",2002,15
"Mississippi",2002,33
"Missouri",2002,65
"Montana",2002,5
"Nebraska",2002,8
"Nevada",2002,25
"New Hampshire",2002,9
"New Jersey",2002,60
"New Mexico",2002,15
"New York",2002,185
"North Carolina",2002,59
"North Dakota",2002,1
"Ohio",2002,113
"Oklahoma",2002,64
"Oregon",2002,33
"Pennsylvania",2002,126
"Rhode Island",2002,8
"South Carolina",2002,45
"South Dakota",2002,11
"Tennessee",2002,61
"Texas",2002,396
"Utah",2002,9
"Vermont",2002,2
"Virginia",2002,69
"Washington",2002,30
"West Virginia",2002,8
"Wisconsin",2002,49
"Wyoming",2002,3
"Federal",2003,346
"Alabama",2003,92
"Alaska",2003,4
"Arizona",2003,84
"Arkansas",2003,39
"California",2003,333
"Colorado",2003,47
"Connecticut",2003,36
"Delaware",2003,19
"Florida",2003,221
"Georgia",2003,126
"Hawaii",2003,8
"Idaho",2003,12
"Illinois",2003,80
"Indiana",2003,56
"Iowa",2003,13
"Kansas",2003,32
"Kentucky",2003,45
"Louisiana",2003,70
"Maine",2003,2
"Maryland",2003,67
"Massachusetts",2003,30
"Michigan",2003,127
"Minnesota",2003,13
"Mississippi",2003,58
"Missouri",2003,65
"Montana",2003,12
"Nebraska",2003,7
"Nevada",2003,24
"New Hampshire",2003,6
"New Jersey",2003,47
"New Mexico",2003,11
"New York",2003,198
"North Carolina",2003,74
"North Dakota",2003,1
"Ohio",2003,91
"Oklahoma",2003,71
"Oregon",2003,25
"Pennsylvania",2003,147
"Rhode Island",2003,8
"South Carolina",2003,63
"South Dakota",2003,11
"Tennessee",2003,97
"Texas",2003,383
"Utah",2003,10
"Vermont",2003,5
"Virginia",2003,93
"Washington",2003,31
"West Virginia",2003,15
"Wisconsin",2003,41
"Wyoming",2003,2
"Federal",2004,333
"Alabama",2004,65
"Alaska",2004,8
"Arizona",2004,66
"Arkansas",2004,34
"California",2004,348
"Colorado",2004,39
"Connecticut",2004,33
"Delaware",2004,13
"Florida",2004,226
"Georgia",2004,90
"Hawaii",2004,8
"Idaho",2004,12
"Illinois",2004,97
"Indiana",2004,56
"Iowa",2004,15
"Kansas",2004,30
"Kentucky",2004,42
"Louisiana",2004,94
"Maine",2004,4
"Maryland",2004,78
"Massachusetts",2004,25
"Michigan",2004,138
"Minnesota",2004,6
"Mississippi",2004,51
"Missouri",2004,77
"Montana",2004,12
"Nebraska",2004,7
"Nevada",2004,31
"New Hampshire",2004,6
"New Jersey",2004,57
"New Mexico",2004,16
"New York",2004,153
"North Carolina",2004,94
"North Dakota",2004,1
"Ohio",2004,126
"Oklahoma",2004,53
"Oregon",2004,34
"Pennsylvania",2004,161
"Rhode Island",2004,7
"South Carolina",2004,50
"South Dakota",2004,5
"Tennessee",2004,71
"Texas",2004,395
"Utah",2004,11
"Vermont",2004,1
"Virginia",2004,86
"Washington",2004,36
"West Virginia",2004,13
"Wisconsin",2004,40
"Wyoming",2004,2
"Federal",2005,388
"Alabama",2005,66
"Alaska",2005,4
"Arizona",2005,78
"Arkansas",2005,38
"California",2005,366
"Colorado",2005,54
"Connecticut",2005,40
"Delaware",2005,19
"Florida",2005,244
"Georgia",2005,122
"Hawaii",2005,8
"Idaho",2005,13
"Illinois",2005,72
"Indiana",2005,45
"Iowa",2005,19
"Kansas",2005,19
"Kentucky",2005,43
"Louisiana",2005,89
"Maine",2005,0
"Maryland",2005,57
"Massachusetts",2005,37
"Michigan",2005,140
"Minnesota",2005,13
"Mississippi",2005,61
"Missouri",2005,68
"Montana",2005,12
"Nebraska",2005,8
"Nevada",2005,28
"New Hampshire",2005,8
"New Jersey",2005,60
"New Mexico",2005,18
"New York",2005,170
"North Carolina",2005,69
"North Dakota",2005,1
"Ohio",2005,121
"Oklahoma",2005,74
"Oregon",2005,37
"Pennsylvania",2005,149
"Rhode Island",2005,2
"South Carolina",2005,75
"South Dakota",2005,4
"Tennessee",2005,76
"Texas",2005,351
"Utah",2005,8
"Vermont",2005,6
"Virginia",2005,84
"Washington",2005,45
"West Virginia",2005,10
"Wisconsin",2005,29
"Wyoming",2005,8
"Federal",2006,328
"Alabama",2006,61
"Alaska",2006,6
"Arizona",2006,72
"Arkansas",2006,37
"California",2006,424
"Colorado",2006,31
"Connecticut",2006,25
"Delaware",2006,13
"Florida",2006,261
"Georgia",2006,103
"Hawaii",2006,5
"Idaho",2006,18
"Illinois",2006,94
"Indiana",2006,70
"Iowa",2006,12
"Kansas",2006,16
"Kentucky",2006,46
"Louisiana",2006,72
"Maine",2006,6
"Maryland",2006,61
"Massachusetts",2006,39
"Michigan",2006,138
"Minnesota",2006,9
"Mississippi",2006,58
"Missouri",2006,66
"Montana",2006,5
"Nebraska",2006,8
"Nevada",2006,23
"New Hampshire",2006,6
"New Jersey",2006,70
"New Mexico",2006,13
"New York",2006,131
"North Carolina",2006,90
"North Dakota",2006,1
"Ohio",2006,106
"Oklahoma",2006,80
"Oregon",2006,40
"Pennsylvania",2006,124
"Rhode Island",2006,8
"South Carolina",2006,65
"South Dakota",2006,4
"Tennessee",2006,84
"Texas",2006,443
"Utah",2006,7
"Vermont",2006,7
"Virginia",2006,78
"Washington",2006,36
"West Virginia",2006,13
"Wisconsin",2006,45
"Wyoming",2006,3
"Federal",2007,368
"Alabama",2007,54
"Alaska",2007,10
"Arizona",2007,61
"Arkansas",2007,46
"California",2007,395
"Colorado",2007,42
"Connecticut",2007,27
"Delaware",2007,15
"Florida",2007,249
"Georgia",2007,143
"Hawaii",2007,13
"Idaho",2007,14
"Illinois",2007,104
"Indiana",2007,54
"Iowa",2007,17
"Kansas",2007,20
"Kentucky",2007,46
"Louisiana",2007,82
"Maine",2007,1
"Maryland",2007,57
"Massachusetts",2007,39
"Michigan",2007,117
"Minnesota",2007,13
"Mississippi",2007,77
"Missouri",2007,78
"Montana",2007,5
"Nebraska",2007,12
"Nevada",2007,39
"New Hampshire",2007,6
"New Jersey",2007,60
"New Mexico",2007,22
"New York",2007,148
"North Carolina",2007,99
"North Dakota",2007,0
"Ohio",2007,123
"Oklahoma",2007,98
"Oregon",2007,36
"Pennsylvania",2007,150
"Rhode Island",2007,9
"South Carolina",2007,72
"South Dakota",2007,8
"Tennessee",2007,73
"Texas",2007,435
"Utah",2007,7
"Vermont",2007,1
"Virginia",2007,103
"Washington",2007,39
"West Virginia",2007,19
"Wisconsin",2007,43
"Wyoming",2007,8
"Federal",2008,399
"Alabama",2008,75
"Alaska",2008,14
"Arizona",2008,77
"Arkansas",2008,41
"California",2008,371
"Colorado",2008,38
"Connecticut",2008,32
"Delaware",2008,15
"Florida",2008,291
"Georgia",2008,128
"Hawaii",2008,14
"Idaho",2008,18
"Illinois",2008,71
"Indiana",2008,70
"Iowa",2008,21
"Kansas",2008,24
"Kentucky",2008,68
"Louisiana",2008,117
"Maine",2008,2
"Maryland",2008,69
"Massachusetts",2008,29
"Michigan",2008,99
"Minnesota",2008,17
"Mississippi",2008,54
"Missouri",2008,87
"Montana",2008,9
"Nebraska",2008,6
"Nevada",2008,35
"New Hampshire",2008,5
"New Jersey",2008,66
"New Mexico",2008,29
"New York",2008,133
"North Carolina",2008,117
"North Dakota",2008,0
"Ohio",2008,101
"Oklahoma",2008,88
"Oregon",2008,31
"Pennsylvania",2008,145
"Rhode Island",2008,6
"South Carolina",2008,83
"South Dakota",2008,6
"Tennessee",2008,74
"Texas",2008,469
"Utah",2008,11
"Vermont",2008,3
"Virginia",2008,86
"Washington",2008,35
"West Virginia",2008,19
"Wisconsin",2008,44
"Wyoming",2008,9
"Federal",2009,376
"Alabama",2009,80
"Alaska",2009,7
"Arizona",2009,85
"Arkansas",2009,50
"California",2009,395
"Colorado",2009,49
"Connecticut",2009,29
"Delaware",2009,12
"Florida",2009,278
"Georgia",2009,125
"Hawaii",2009,11
"Idaho",2009,13
"Illinois",2009,75
"Indiana",2009,91
"Iowa",2009,14
"Kansas",2009,20
"Kentucky",2009,57
"Louisiana",2009,108
"Maine",2009,4
"Maryland",2009,56
"Massachusetts",2009,29
"Michigan",2009,148
"Minnesota",2009,12
"Mississippi",2009,52
"Missouri",2009,81
"Montana",2009,3
"Nebraska",2009,11
"Nevada",2009,35
"New Hampshire",2009,9
"New Jersey",2009,58
"New Mexico",2009,21
"New York",2009,142
"North Carolina",2009,86
"North Dakota",2009,0
"Ohio",2009,120
"Oklahoma",2009,79
"Oregon",2009,34
"Pennsylvania",2009,165
"Rhode Island",2009,7
"South Carolina",2009,49
"South Dakota",2009,4
"Tennessee",2009,69
"Texas",2009,426
"Utah",2009,17
"Vermont",2009,3
"Virginia",2009,87
"Washington",2009,44
"West Virginia",2009,18
"Wisconsin",2009,42
"Wyoming",2009,7
"Federal",2010,387
"Alabama",2010,66
"Alaska",2010,13
"Arizona",2010,85
"Arkansas",2010,54
"California",2010,414
"Colorado",2010,48
"Connecticut",2010,21
"Delaware",2010,23
"Florida",2010,275
"Georgia",2010,112
"Hawaii",2010,12
"Idaho",2010,13
"Illinois",2010,94
"Indiana",2010,69
"Iowa",2010,13
"Kansas",2010,22
"Kentucky",2010,42
"Louisiana",2010,100
"Maine",2010,3
"Maryland",2010,40
"Massachusetts",2010,39
"Michigan",2010,93
"Minnesota",2010,16
"Mississippi",2010,52
"Missouri",2010,88
"Montana",2010,2
"Nebraska",2010,12
"Nevada",2010,41
"New Hampshire",2010,4
"New Jersey",2010,56
"New Mexico",2010,16
"New York",2010,124
"North Carolina",2010,87
"North Dakota",2010,1
"Ohio",2010,116
"Oklahoma",2010,60
"Oregon",2010,39
"Pennsylvania",2010,141
"Rhode Island",2010,7
"South Carolina",2010,70
"South Dakota",2010,8
"Tennessee",2010,74
"Texas",2010,375
"Utah",2010,13
"Vermont",2010,5
"Virginia",2010,93
"Washington",2010,35
"West Virginia",2010,20
"Wisconsin",2010,25
"Wyoming",2010,2
"Federal",2011,387
"Alabama",2011,104
"Alaska",2011,12
"Arizona",2011,86
"Arkansas",2011,50
"California",2011,388
"Colorado",2011,37
"Connecticut",2011,19
"Delaware",2011,15
"Florida",2011,297
"Georgia",2011,121
"Hawaii",2011,6
"Idaho",2011,13
"Illinois",2011,97
"Indiana",2011,74
"Iowa",2011,12
"Kansas",2011,25
"Kentucky",2011,60
"Louisiana",2011,108
"Maine",2011,5
"Maryland",2011,41
"Massachusetts",2011,33
"Michigan",2011,119
"Minnesota",2011,19
"Mississippi",2011,47
"Missouri",2011,74
"Montana",2011,6
"Nebraska",2011,17
"Nevada",2011,34
"New Hampshire",2011,10
"New Jersey",2011,66
"New Mexico",2011,16
"New York",2011,117
"North Carolina",2011,71
"North Dakota",2011,1
"Ohio",2011,111
"Oklahoma",2011,85
"Oregon",2011,40
"Pennsylvania",2011,157
"Rhode Island",2011,10
"South Carolina",2011,55
"South Dakota",2011,11
"Tennessee",2011,59
"Texas",2011,417
"Utah",2011,12
"Vermont",2011,0
"Virginia",2011,99
"Washington",2011,21
"West Virginia",2011,23
"Wisconsin",2011,48
"Wyoming",2011,3
"Federal",2012,350
"Alabama",2012,86
"Alaska",2012,11
"Arizona",2012,87
"Arkansas",2012,43
"California",2012,368
"Colorado",2012,48
"Connecticut",2012,24
"Delaware",2012,10
"Florida",2012,324
"Georgia",2012,103
"Hawaii",2012,12
"Idaho",2012,9
"Illinois",2012,85
"Indiana",2012,59
"Iowa",2012,20
"Kansas",2012,17
"Kentucky",2012,55
"Louisiana",2012,116
"Maine",2012,2
"Maryland",2012,46
"Massachusetts",2012,42
"Michigan",2012,124
"Minnesota",2012,14
"Mississippi",2012,41
"Missouri",2012,71
"Montana",2012,11
"Nebraska",2012,11
"Nevada",2012,37
"New Hampshire",2012,5
"New Jersey",2012,48
"New Mexico",2012,14
"New York",2012,115
"North Carolina",2012,79
"North Dakota",2012,3
"Ohio",2012,126
"Oklahoma",2012,79
"Oregon",2012,26
"Pennsylvania",2012,157
"Rhode Island",2012,6
"South Carolina",2012,58
"South Dakota",2012,9
"Tennessee",2012,84
"Texas",2012,462
"Utah",2012,15
"Vermont",2012,2
"Virginia",2012,86
"Washington",2012,33
"West Virginia",2012,24
"Wisconsin",2012,46
"Wyoming",2012,4
"Federal",2013,400
"Alabama",2013,107
"Alaska",2013,8
"Arizona",2013,95
"Arkansas",2013,56
"California",2013,365
"Colorado",2013,40
"Connecticut",2013,20
"Delaware",2013,14
"Florida",2013,305
"Georgia",2013,122
"Hawaii",2013,14
"Idaho",2013,10
"Illinois",2013,78
"Indiana",2013,66
"Iowa",2013,16
"Kansas",2013,28
"Kentucky",2013,40
"Louisiana",2013,118
"Maine",2013,3
"Maryland",2013,58
"Massachusetts",2013,39
"Michigan",2013,124
"Minnesota",2013,20
"Mississippi",2013,68
"Missouri",2013,92
"Montana",2013,7
"Nebraska",2013,16
"Nevada",2013,35
"New Hampshire",2013,8
"New Jersey",2013,46
"New Mexico",2013,17
"New York",2013,142
"North Carolina",2013,81
"North Dakota",2013,1
"Ohio",2013,124
"Oklahoma",2013,87
"Oregon",2013,30
"Pennsylvania",2013,157
"Rhode Island",2013,4
"South Carolina",2013,66
"South Dakota",2013,6
"Tennessee",2013,82
"Texas",2013,438
"Utah",2013,23
"Vermont",2013,8
"Virginia",2013,82
"Washington",2013,39
"West Virginia",2013,26
"Wisconsin",2013,43
"Wyoming",2013,4
"Federal",2014,444
"Alabama",2014,102
"Alaska",2014,12
"Arizona",2014,99
"Arkansas",2014,57
"California",2014,317
"Colorado",2014,35
"Connecticut",2014,24
"Delaware",2014,18
"Florida",2014,346
"Georgia",2014,121
"Hawaii",2014,8
"Idaho",2014,23
"Illinois",2014,88
"Indiana",2014,70
"Iowa",2014,15
"Kansas",2014,21
"Kentucky",2014,44
"Louisiana",2014,118
"Maine",2014,7
"Maryland",2014,43
"Massachusetts",2014,45
"Michigan",2014,121
"Minnesota",2014,14
"Mississippi",2014,50
"Missouri",2014,97
"Montana",2014,19
"Nebraska",2014,13
"Nevada",2014,44
"New Hampshire",2014,5
"New Jersey",2014,50
"New Mexico",2014,24
"New York",2014,123
"North Carolina",2014,94
"North Dakota",2014,0
"Ohio",2014,111
"Oklahoma",2014,107
"Oregon",2014,31
"Pennsylvania",2014,145
"Rhode Island",2014,7
"South Carolina",2014,66
"South Dakota",2014,7
"Tennessee",2014,83
"Texas",2014,409
"Utah",2014,23
"Vermont",2014,6
"Virginia",2014,90
"Washington",2014,38
"West Virginia",2014,24
"Wisconsin",2014,58
"Wyoming",2014,12
"Federal",2015,455
"Alabama",2015,112
"Alaska",2015,15
"Arizona",2015,105
"Arkansas",2015,54
"California",2015,353
"Colorado",2015,51
"Connecticut",2015,23
"Delaware",2015,17
"Florida",2015,354
"Georgia",2015,131
"Hawaii",2015,4
"Idaho",2015,18
"Illinois",2015,120
"Indiana",2015,85
"Iowa",2015,19
"Kansas",2015,25
"Kentucky",2015,60
"Louisiana",2015,139
"Maine",2015,5
"Maryland",2015,62
"Massachusetts",2015,34
"Michigan",2015,118
"Minnesota",2015,11
"Mississippi",2015,45
"Missouri",2015,106
"Montana",2015,13
"Nebraska",2015,17
"Nevada",2015,47
"New Hampshire",2015,8
"New Jersey",2015,52
"New Mexico",2015,19
"New York",2015,115
"North Carolina",2015,90
"North Dakota",2015,0
"Ohio",2015,138
"Oklahoma",2015,107
"Oregon",2015,37
"Pennsylvania",2015,166
"Rhode Island",2015,5
"South Carolina",2015,76
"South Dakota",2015,7
"Tennessee",2015,94
"Texas",2015,418
"Utah",2015,16
"Vermont",2015,4
"Virginia",2015,90
"Washington",2015,42
"West Virginia",2015,28
"Wisconsin",2015,46
"Wyoming",2015,7
"Federal",2016,388
"Alabama",2016,118
"Alaska",2016,10
"Arizona",2016,126
"Arkansas",2016,71
"California",2016,334
"Colorado",2016,57
"Connecticut",2016,17
"Delaware",2016,14
"Florida",2016,356
"Georgia",2016,133
"Hawaii",2016,9
"Idaho",2016,16
"Illinois",2016,90
"Indiana",2016,70
"Iowa",2016,29
"Kansas",2016,35
"Kentucky",2016,42
"Louisiana",2016,128
"Maine",2016,5
"Maryland",2016,49
"Massachusetts",2016,34
"Michigan",2016,106
"Minnesota",2016,18
"Mississippi",2016,65
"Missouri",2016,99
"Montana",2016,16
"Nebraska",2016,9
"Nevada",2016,42
"New Hampshire",2016,9
"New Jersey",2016,49
"New Mexico",2016,16
"New York",2016,147
"North Carolina",2016,127
"North Dakota",2016,4
"Ohio",2016,133
"Oklahoma",2016,93
"Oregon",2016,47
"Pennsylvania",2016,171
"Rhode Island",2016,2
"South Carolina",2016,79
"South Dakota",2016,5
"Tennessee",2016,102
"Texas",2016,403
"Utah",2016,21
"Vermont",2016,7
"Virginia",2016,90
"Washington",2016,28
"West Virginia",2016,26
"Wisconsin",2016,66
"Wyoming",2016,11
"Federal",2017,381
"Alabama",2017,116
"Alaska",2017,9
"Arizona",2017,133
"Arkansas",2017,81
"California",2017,384
"Colorado",2017,41
"Connecticut",2017,14
"Delaware",2017,10
"Florida",2017,428
"Georgia",2017,173
"Hawaii",2017,4
"Idaho",2017,15
"Illinois",2017,104
"Indiana",2017,68
"Iowa",2017,16
"Kansas",2017,26
"Kentucky",2017,70
"Louisiana",2017,127
"Maine",2017,4
"Maryland",2017,57
"Massachusetts",2017,37
"Michigan",2017,106
"Minnesota",2017,6
"Mississippi",2017,76
"Missouri",2017,94
"Montana",2017,13
"Nebraska",2017,16
"Nevada",2017,47
"New Hampshire",2017,5
"New Jersey",2017,39
"New Mexico",2017,18
"New York",2017,143
"North Carolina",2017,104
"North Dakota",2017,2
"Ohio",2017,149
"Oklahoma",2017,86
"Oregon",2017,25
"Pennsylvania",2017,181
"Rhode Island",2017,8
"South Carolina",2017,105
"South Dakota",2017,12
"Tennessee",2017,96
"Texas",2017,469
"Utah",2017,20
"Vermont",2017,4
"Virginia",2017,93
"Washington",2017,40
"West Virginia",2017,29
"Wisconsin",2017,43
"Wyoming",2017,8
"Federal",2018,378
"Alabama",2018,125
"Alaska",2018,11
"Arizona",2018,131
"Arkansas",2018,76
"California",2018,449
"Colorado",2018,55
"Connecticut",2018,28
"Delaware",2018,16
"Florida",2018,440
"Georgia",2018,163
"Hawaii",2018,6
"Idaho",2018,22
"Illinois",2018,83
"Indiana",2018,67
"Iowa",2018,19
"Kansas",2018,33
"Kentucky",2018,50
"Louisiana",2018,116
"Maine",2018,8
"Maryland",2018,57
"Massachusetts",2018,42
"Michigan",2018,135
"Minnesota",2018,6
"Mississippi",2018,76
"Missouri",2018,106
"Montana",2018,5
"Nebraska",2018,10
"Nevada",2018,29
"New Hampshire",2018,8
"New Jersey",2018,33
"New Mexico",2018,22
"New York",2018,138
"North Carolina",2018,118
"North Dakota",2018,0
"Ohio",2018,151
"Oklahoma",2018,113
"Oregon",2018,34
"Pennsylvania",2018,166
"Rhode Island",2018,5
"South Carolina",2018,100
"South Dakota",2018,6
"Tennessee",2018,121
"Texas",2018,505
"Utah",2018,17
"Vermont",2018,2
"Virginia",2018,106
"Washington",2018,36
"West Virginia",2018,34
"Wisconsin",2018,52
"Wyoming",2018,6
"Federal",2019,381
"Alabama",2019,129
"Alaska",2019,3
"Arizona",2019,114
"Arkansas",2019,76
"California",2019,398
"Colorado",2019,49
"Connecticut",2019,19
"Delaware",2019,13
"Florida",2019,400
"Georgia",2019,157
"Hawaii",2019,14
"Idaho",2019,25
"Illinois",2019,94
"Indiana",2019,93
"Iowa",2019,16
"Kansas",2019,35
"Kentucky",2019,63
"Louisiana",2019,102
"Maine",2019,8
"Maryland",2019,61
"Massachusetts",2019,34
"Michigan",2019,116
"Minnesota",2019,10
"Mississippi",2019,73
"Missouri",2019,84
"Montana",2019,8
"Nebraska",2019,17
"Nevada",2019,34
"New Hampshire",2019,8
"New Jersey",2019,43
"New Mexico",2019,18
"New York",2019,112
"North Carolina",2019,119
"North Dakota",2019,1
"Ohio",2019,136
"Oklahoma",2019,100
"Oregon",2019,39
"Pennsylvania",2019,157
"Rhode Island",2019,3
"South Carolina",2019,70
"South Dakota",2019,12
"Tennessee",2019,103
"Texas",2019,448
"Utah",2019,21
"Vermont",2019,5
"Virginia",2019,90
"Washington",2019,37
"West Virginia",2019,28
"Wisconsin",2019,49
"Wyoming",2019,9
